TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP	pl_PL
1023031	BuildingBattleQuestion	飞机	飞机	Plane	Aeronave	Самолёт	항공기	Flugzeuge	Avion	Aeronave	Aereo	Pesawat	เครื่องบิน	uçak	Máy bay	航空機	Samolot
1023032	BuildingBattleQuestion	钻石剑	钻石剑	Diamond sword	Espada de diamante	Алмазный меч	다이아몬드 칼	Diamantschwert	Épée de diamant	Espada de diamante	spada di diamante	Pedang Permata	ดาบเพชร	Elmas kılıç	Kiếm kim cương	ダイヤモンド刀	Diamentowy miecz
1023033	BuildingBattleQuestion	房子	房子	House	House	Дом	하우스	Haus	Maison	Casa	Casa	Rumah	เรือน	ev	Nhà	家	Dom
1023034	BuildingBattleQuestion	树	树	Tree	Árvore	Дерево	나무	Baum	Arbre	Arbol	Albero	Pohon	ต้นไม้	ağaç	Cây	木	Drzewo
1023035	BuildingBattleQuestion	篮球	篮球	Basketball	Basquete	Баскетбол	농구	Basketball	Basket-ball	El baloncesto	Pallacanestro	Bola Basket	บาสเกตบอล	basketbol	Bóng rổ	バスケットボール	Koszykówka
1023036	BuildingBattleQuestion	云朵	云朵	Clouds	Cloud	Облака	구름	Wolke	Nuage	La nube	Nuvole	Awan-awan	ดอกเมฆ	bulutlar	Đám mây	クラウド	Chmura
1023037	BuildingBattleQuestion	钻石	钻石	Diamond	Diamante	Алмаз	다이아몬드	Diamant	Diamant	Diamante	Diamante	Permata	เพชร	elmas	Kim cương	ダイヤモンド	Diament
1023038	BuildingBattleQuestion	橄榄球	橄榄球	Rugby	Futebol	Регби	축구	Fußball	Football	El fútbol	Rugby	Ragbi	บอลมะกอก	futbol	Bóng đá	フットボール	Piłka nożna
1023039	BuildingBattleQuestion	南瓜	南瓜	Pumpkin	Abóbora	Тыква	호박	Kürbis	Citrouille	La calabaza	Zucca	Labu	ฟักทอง	kabak	Bí ngô	かぼちゃ	Dynia
1023040	BuildingBattleQuestion	草莓	草莓	Strawberry	Morango	Клубника	딸기	Erdbeere	Fraise	Fresa	fragola	Stoberi	สตรอเบอร์รี่	çilek	Dâu tây	いちご	Truskawka
1023041	BuildingBattleQuestion	大象	大象	Elephant	Elefante	Слон	코끼리	Elefant	Éléphant	Elefante	Elefante	Gajah	ช้าง	fil	Voi	象	Słoń
1023042	BuildingBattleQuestion	电脑	电脑	Computer	Computador	Компьютер	컴퓨터	Computer	Ordinateur	Ordenador	Computer	Komputer	คอมพิวเตอร์	bilgisayar	Máy tính	コンピュータ	Komputer
1023043	BuildingBattleQuestion	蜘蛛	蜘蛛	Spider	Aranha	Паук	거미	Spinne	Araignée	Araña	Ragno	Laba-laba	แมงมุม	örümcek	Nhện	クモ	Pająk
1023044	BuildingBattleQuestion	狮子	狮子	Lion	Leão	Лев	사자	Löwe	Lion	León	Leone	Singa	สิงห์	aslan	Sư tử	ライオン	Lew
1023045	BuildingBattleQuestion	老虎	老虎	Tiger	Tigre	Тигр	타이거	Tiger	Tigre	Tigre	Tigre	Harimau	เสือ	kaplan	Hổ	タイガー	Tygrys
1023046	BuildingBattleQuestion	青蛙	青蛙	Frog	Sapo	Лягушка	개구리	Frosch	Grenouille	Rana	Rana	Katak	กบ	kurbağa	Ếch	カエル	Żaba
1023047	BuildingBattleQuestion	山	山	Mountain	Mountain	Гора	산	Berg	Montagne	Montaña	Montagna	Gunung	ภูเขา	dağ	Núi	山	Góra
1023048	BuildingBattleQuestion	机器人	机器人	Robot	Robô	Робот	로봇	Roboter	Robot	Robot	Robot	Robot	หุ่นยนต์	robot	Robot	ロボット	Robot
1023049	BuildingBattleQuestion	僵尸	僵尸	Zombies	Zumbi	Зомби	좀비	Zombie	Zombie	Zombie	Zombies	Zombie-Zombie	ซากศพ	Zombiler	Zombie	ゾンビ	Zombie
1023050	BuildingBattleQuestion	绿巨人	绿巨人	The hulk	Hulk	Халк	헐크	Hulk	Hulk	Hulk	Hulk	Si Hulk	ยักษ์เขียว	hurda gemi	Hulk	ハルク	Hulk
1023051	BuildingBattleQuestion	手机	手机	Mobile phone	Telefone móvel	Мобильный телефон	휴대 전화	Handy	Téléphone portable	Telefono movil	Cellulare	Telepon Genggam	โทรศัพท์	Cep telefonu	Điện thoại di động	携帯電話	Telefon komórkowy
1023052	BuildingBattleQuestion	电视	电视	Television	Televisão	Телевизор	텔레비전	Fernsehen	Télévision	Televisión	Televisione	Televisi	โทรทัศน์	TV	Truyền hình	テレビ	Telewizja
1023053	BuildingBattleQuestion	衣服	衣服	Clothes	Roupas	Одежда	옷	Kleidung	Les vêtements	La ropa	Abiti	Pakaian	เสื้อ	giysi	Quần áo	洋服	Ubrania
1023054	BuildingBattleQuestion	橘子	橘子	Orange	Orange	Апельсин	주황색	Orange	Orange	Naranja	arancia	Oren	ส้ม	turuncu	Cam	オレンジ色	Orange
1023055	BuildingBattleQuestion	坦克	坦克	Tank	Tank	Танк	탱크	Tank	Réservoir	Tanque	Carro armato	Tangki	รถถัง	tank	Xe tăng	タンク	Czołg
1023056	BuildingBattleQuestion	松鼠	松鼠	Squirrel	Esquilo	Белочка	다람쥐	Eichhörnchen	Écureuil	Ardilla	Scoiattolo	Tupai	กระรอก	sincap	Con sóc	リス	Wiewiórka
1023057	BuildingBattleQuestion	人	人	People	Pessoas	Люди	사람들	Leute	Les gens	Personas	Persone	Orang	คน	insanlar	Người	人	Ludzie
1023058	BuildingBattleQuestion	枪	枪	Gun	Arma	Оружие	총	Waffe	Arme à feu	Arma de fuego	Pistola	Pistol	ปีน	tabanca	Súng	ガン	Pistolet
1023059	BuildingBattleQuestion	水果	水果	Fruits	Fruta	Фрукты	과일	Obst	Des fruits	Fruta	Frutta	Buah-buahan	ผลไม้	meyve	Trái cây	フルーツ	Owoce
1023060	BuildingBattleQuestion	蔬菜	蔬菜	Vegetables	Legumes	Овощи	야채	Gemüse	Les légumes	Vegetales	Verdure	Vegetarian	ผัก	sebze	Rau	野菜	Warzywa
