TipType	TipTemplateId	Notice	TipTemplateId.1	zh_CN	en_US	ru_RU	de_DE	es_ES	pt_BR	vi_VN	in_ID	pl_PL	tr_TR	fr_FR	ja_JP	ko_KR	it_IT	th_TH
1048010	msgSetHomeSuccess	设家成功	msgSetHomeSuccess	▢FFFF0000设家成功	▢FFFF0000Setting up strart point successfully	▢FFFF0000Настройка начальной точки успешно	▢FFFF0000Setzen des Startpunkts erfolgreich	▢FFFF0000 Configurar punto de inicio correctamente	▢FFFF0000Setting up strart point com sucesso	▢FFFF0000 Cài đặt điểm khởi đầu thành công	▢FFFF0000Menyiapkan titik awal dengan sukses	▢FFFF0000Pomyślnie skonfigurowano punkt początkowy	▢FFFF0000Başlama noktasını başarıyla ayarlama	▢FFFF0000Configuration du point de départ avec succès	▢FFFF0000開始点を正常に設定しました	▢FFFF0000시작점 설정 성공	▢FFFF0000Impostazione del punto iniziale corretta	▢FFFF0000การตั้งค่าจุดเริ่มต้นสำเร็จ
1048011	msgBackHomeSuccess	回家成功	msgBackHomeSuccess	▢FFFF0000回家成功	▢FFFF0000You have already returned home	▢FFFF0000Вы уже вернулись домой	▢FFFF0000Sie sind bereits nach Hause zurückgekehrt	▢FFFF0000 Ya has regresado a casa	▢FFFF0000Você já voltou para casa	▢FFFF0000 Bạn đã trở về nhà	▢FFFF0000Anda sudah kembali ke rumah	▢FFFF0000Wróciłeś już do domu	▢FFFF0000Çoktan eve döndün	▢FFFF0000Vous êtes déjà rentré chez vous	▢FFFF0000あなたはすでに家に帰りました	▢FFFF0000이미 집으로 돌아 왔습니다	▢FFFF0000Sei già tornato a casa	▢FFFF0000คุณกลับถึงบ้านแล้ว
1048012	msgSetHomeFailed	浮空岛禁止设家	msgSetHomeFailed	▢FFFF0000你必须回家才能使用这个功能！	▢FFFF0000You must go home to use this feature!	▢FFFF0000Необходимо вернуться домой для использования этой функции!	▢FFFF0000Sie müssen nach Hause gehen, um diese Funktion zu nutzen!	▢FFFF0000¡Debes ir a casa para usar esta función!	▢FFFF0000Você deve ir para casa para usar esse recurso!	▢FFFF0000Bạn phải về nhà để sử dụng tính năng này!	▢FFFF0000Anda harus pulang untuk menggunakan fitur ini!	▢FFFF0000Musisz skorzystać z tej funkcji w domu!	▢FFFF0000Bu özelliği kullanmak için eve gitmelisin!	▢FFFF0000Vous devez rentrer à la maison pour utiliser cette fonctionnalité!	▢FFFF0000この機能を使用するには家に帰らなければなりません！	▢FFFF0000이 기능을 사용하려면 집에 가야합니다!	▢FFFF0000Devi andare a casa per usare questa funzione!	▢FFFF0000คุณต้องกลับบ้านเพื่อใช้คุณสมบัตินี้!
1048013	msgBoxLimit	箱子数量限制	msgBoxLimit	▢FFFF0000箱子数量已达上限！	▢FFFF0000The number of chests has reached the upper limit!	▢FFFF0000Количество ящиков достигло верхнего предела!	▢FFFF0000Die Anzahl der Truhen hat die Obergrenze erreicht!	▢FFFF0000¡El número de cofres ha alcanzado el límite superior!	▢FFFF0000O número de baús atingiu o limite superior!	▢FFFF0000Số lượng rương đã đạt đến giới hạn trên!	▢FFFF0000Jumlah peti telah mencapai batas atas!	▢FFFF0000Liczba skrzyń osiągnęła górny limit!	▢FFFF0000Sandık sayısı üst sınıra ulaştı!	▢FFFF0000Le nombre de coffres a atteint la limite supérieure!	▢FFFF0000チェストの数が上限に達しました！	▢FFFF0000상자 개수가 상한에 도달했습니다!	▢FFFF0000Il numero di forzieri ha raggiunto il limite superiore!	▢FFFF0000จำนวนหีบได้ถึงขีด จำกัด สูงสุดแล้ว!
1048014	msgFurnaceLimit	熔炉数量限制	msgFurnaceLimit	▢FFFF0000熔炉数量已达上限！	▢FFFF0000The number of furnaces has reached the upper limit!	▢FFFF0000Количество печей достигло верхнего предела!	▢FFFF0000Die Anzahl der Öfen hat die Obergrenze erreicht!	▢FFFF0000¡El número de hornos ha alcanzado el límite superior!	▢FFFF0000O número de fornos atingiu o limite superior!	▢FFFF0000Số lượng lò đã đạt đến giới hạn trên!	▢FFFF0000Jumlah tungku telah mencapai batas atas!	▢FFFF0000Liczba pieców osiągnęła górny limit!	▢FFFF0000Fırın sayısı üst sınıra ulaştı!	▢FFFF0000Le nombre de fours a atteint la limite supérieure!	▢FFFF0000炉の数が上限に達しました！	▢FFFF0000용광로 수가 상한에 도달했습니다!	▢FFFF0000Il numero di forni ha raggiunto il limite superiore!	▢FFFF0000จำนวนเตาเผาถึงขีด จำกัด สูงสุดแล้ว!
1048015	msgSignPostTextLimit	留言板可编辑数量限制	msgSignPostTextLimit	▢FFFF0000最多可编辑▢FF00FF00%1s▢FFFF0000个留言板	▢FFFF0000 can edit up to ▢FF00FF00%1s▢FFFF0000 message boards 			▢FFFF0000pode editar até▢FF00FF00%1s▢FFFF0000 quadros de mensagens 	▢FFFF0000có thể chỉnh sửa lên đến ▢FF00FF00%1s▢FFFF0000 bảng tin 	▢FFFF0000 может редактировать до FF00FF00% 1s▢FFFF0000 досок отзывов								
1048016	msgTransmitting	传送中，请等待!	msgTransmitting	▢FFFF0000传送中，请等待!	▢FFFF0000 is being teleported, please wait!			▢FFFF0000 está sendo teleportado, aguarde!	▢FFFF0000 đang được dịch chuyển tức thời, xin vui lòng chờ!	▢FFFF0000 телепортируется, подождите, пожалуйста.								
1048017	msgGoToParty	岛主开启了派对，传送中...	msgGoToParty	▢FFFF0000岛主开启了派对，传送中…	▢FFFF0000 Island owner started a party, teleporting...			▢FFFF0000 O dono da ilha começou uma festa, teletransportando ...	▢FFFF0000 Chủ đảo bắt đầu một bữa tiệc, dịch chuyển tức thời ...									
1048018	msgEnlargeBlockPlaceTip	提示扩大岛屿	msgEnlargeBlockPlaceTip	▢FF00FF00请先扩大你的领地范围！	▢FF00FF00 Please expand your territory first!			▢FF00FF00 Por favor, expanda seu território primeiro!	▢FF00FF00 Hãy mở rộng lãnh thổ của bạn trước!									
1048019	msgNotEnlargeBlockPlaceTip	提示已经到达最大范围	msgNotEnlargeBlockPlaceTip	▢FF00FF00已到达最大边界！	▢FF00FF00 has reached the maximum territory!			▢FF00FF00 atingiu o território máximo!	▢FF00FF00 đã đạt đến lãnh thổ tối đa!									
1048020	msgActorTextLimit	最多可放置 个装饰物 	msgActorTextLimit	▢FFFF0000最多可放置▢FF00FF00%1s▢FFFF0000个装饰物	▢FFFF0000You can place up to ▢FF00FF00%1s▢FFFF0000 decorations	▢FFFF0000Вы можете разместить до ▢FF00FF00%1s▢FFFF0000 украшений	▢FFFF0000Sie können bis zu ▢FF00FF00%1s▢FFFF0000 Dekorationen platzieren	▢FFFF0000 Puede colocar hasta ▢FF00FF00%1s▢FFFF0000 decoraciones	▢FFFF0000 Coloque até ▢FF00FF00%1s▢FFFF0000 decorações	▢FFFF0000Tối đa có thể đặt▢FF00FF00%1s▢FFFF0000đồ trang sức	▢FFFF0000Anda dapat menempatkan hingga ▢FF00FF00%1s▢FFFF0000 dekorasi	▢FFFF0000Możesz umieścić do ▢FF00FF00%1s▢FFFF0000 dekoracji	▢FFFF0000 en fazla ▢FF00FF00%1s▢FFFF0000 dekorasyon yerleştirebilir	▢FFFF0000Vous pouvez placer jusqu'à ▢FF00FF00%1s▢FFFF0000 décorations	▢FFFF0000最大00FF00FF00％1s▢FFFF0000の装飾を配置できます	▢FFFF0000최대 한도는 ▢FF00FF00%1s▢FFFF0000개 장식품 넣을 수 있다	▢FFFF0000È possibile posizionare fino a ▢FF00FF00%1s▢FFFF0000 decorazioni	▢FFFF0000คุณสามารถวางได้สูงสุด▢FF00FF00%1s▢FFFF0000การตกแต่ง
