TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
1025010	ResourceGetByCd		▢FFB22222该资源点还剩余%1s秒才可以领取	▢FFB22222The resource site still has %1s seconds left to receive.	▢FFB22222The resource site still has %1s seconds left to receive.	▢FFB22222В источнике ресурсов вам все равно нужно ждать %1s секунд для их получения.	▢FFB22222The resource site still has %1s seconds left to receive.	▢FFB22222The resource site still has %1s seconds left to receive.	▢FFB22222The resource site still has %1s seconds left to receive.	▢FFB22222The resource site still has %1s seconds left to receive.	▢FFB22222The resource site still has %1s seconds left to receive.	▢FFB22222Situs Sumber daya masih memiliki %1s detik tersisa untuk menerima.	▢FFB22222แห่ลงทรัพยากรนี้ยังเหลือ%1sวินาทีที่จะรับได้	▢FFB22222The resource site still has %1s seconds left to receive.	▢FFB22222The resource site still has %1s seconds left to receive.	▢FFB22222The resource site still has %1s seconds left to receive.
1025011	InformResourceByStealed		▢FFB22222%1s玩家偷了你家的钱	▢FFB22222%1s stole your money.	▢FFB22222%1s stole your resources.	▢FFB22222%1s украл ваши ресурсы.	▢FFB22222%1s stole your resources.	▢FFB22222%1s stole your resources.	▢FFB22222%1s stole your resources.	▢FFB22222%1s stole your resources.	▢FFB22222%1s stole your resources.	▢FFB22222%1s mencuri barang-barang anda.	▢FFB22222%1sผู้เล่นได้ขโมยเงินของคุณ	▢FFB22222%1s stole your resources.	▢FFB22222%1s stole your resources.	▢FFB22222%1s stole your resources.
1025012	SucceedBuildingOne		▢FF00FFFF恭喜%1s，已完成第一阶段的建设	▢FF00FFFFCongratulations, %1s has completed the construction of the first floor.	▢FF00FFFFCongratulations, %1s has completed the first stage.	▢FF00FFFFПоздравляем, %1s выполнил(-а) первую стадию.	▢FF00FFFFCongratulations, %1s has completed the first stage.	▢FF00FFFFCongratulations, %1s has completed the first stage.	▢FF00FFFFCongratulations, %1s has completed the first stage.	▢FF00FFFFCongratulations, %1s has completed the first stage.	▢FF00FFFFCongratulations, %1s has completed the first stage.	▢FF00FFFFSelamat, %1s telah berhasil menyelesaikan babak yang pertama.	▢FF00FFFFขอแสดงความยินดีกับ%1s，ได้เสร็จสิ้นการก่อสร้างในช่วงที่หนึ่ง	▢FF00FFFFCongratulations, %1s has completed the first stage.	▢FF00FFFFCongratulations, %1s has completed the first stage.	▢FF00FFFFCongratulations, %1s has completed the first stage.
1025013	SucceedBuildingTwo		▢FF00FFFF恭喜%1s，已完成第二阶段的建设	▢FF00FFFFCongratulations, %1s has completed the construction of the second floor.	▢FF00FFFFCongratulations, %1s has completed the second stage.	▢FF00FFFFПоздравляем, %1s выполнил(-а) вторую стадию.	▢FF00FFFFCongratulations, %1s has completed the second stage.	▢FF00FFFFCongratulations, %1s has completed the second stage.	▢FF00FFFFCongratulations, %1s has completed the second stage.	▢FF00FFFFCongratulations, %1s has completed the second stage.	▢FF00FFFFCongratulations, %1s has completed the second stage.	▢FF00FFFFSelamat, %1s telah berhasil menyelesaikan babak yang kedua.	▢FF00FFFFขอแสดงความยินดีกับ%1s，ได้เสร็จสิ้นการก่อสร้างในช่วงที่สอง	▢FF00FFFFCongratulations, %1s has completed the second stage.	▢FF00FFFFCongratulations, %1s has completed the second stage.	▢FF00FFFFCongratulations, %1s has completed the second stage.
1025014	SucceedBuildingPortal		▢FF00FFFF恭喜%1s，已完成传送门的建设，点击传送可到达高地	▢FF00FFFFCongratulations, %1s has completed the construction of the portal.	▢FF00FFFFCongratulations, %1s has completed the teleport gate.	▢FF00FFFFПоздравляем, %1s открыл(-а) врата телепорта.	▢FF00FFFFCongratulations, %1s has completed the teleport gate.	▢FF00FFFFCongratulations, %1s has completed the teleport gate.	▢FF00FFFFCongratulations, %1s has completed the teleport gate.	▢FF00FFFFCongratulations, %1s has completed the teleport gate.	▢FF00FFFFCongratulations, %1s has completed the teleport gate.	▢FF00FFFFSelamat, %1s telah berhasil menyelesaikan gerbang teleport.	▢FF00FFFFขอแสดงความยินดีกับ%1s，ได้เสร็จสิ้นการก่อสร้างของประตูรับส่ง คลิกรับส่งสามารถไปยังถึงที่สูง	▢FF00FFFFCongratulations, %1s has completed the teleport gate.	▢FF00FFFFCongratulations, %1s has completed the teleport gate.	▢FF00FFFFCongratulations, %1s has completed the teleport gate.
1025015	NoSelfItem		▢FFB22222不属于自己的物品	▢FFB22222That items don't belong to you.	▢FFB22222That items don't belong to you.	▢FFB22222Эти предметы не пренадлежат вам.	▢FFB22222That items don't belong to you.	▢FFB22222That items don't belong to you.	▢FFB22222That items don't belong to you.	▢FFB22222That items don't belong to you.	▢FFB22222That items don't belong to you.	▢FFB22222Barang itu bukan milik anda.	▢FFB22222สิ่งของที่ไม่เป็นของตัวเอง	▢FFB22222That items don't belong to you.	▢FFB22222That items don't belong to you.	▢FFB22222That items don't belong to you.
1025016	bonusPunisher		▢FF00B0F0你的领地产出速度被强化了（已拥有）	▢FF00B0F0Your territory's output speed has been strengthened. (Obtained)	▢FF00FF00Your territory's resources speed has been strengthened.	▢FF00FF00Скорость появления ресурсов на вашей территории улучшена.	▢FF00FF00Your territory's resources speed has been strengthened.	▢FF00FF00Your territory's resources speed has been strengthened.	▢FF00FF00Your territory's resources speed has been strengthened.	▢FF00FF00Your territory's resources speed has been strengthened.	▢FF00FF00Your territory's resources speed has been strengthened.	▢FF00FF00Kecepatan material markas milik anda telah di perkuat.	▢FF00FF00ความเร็วการผลิตของดินแดนคุณถูกเสริมความแข็งแล้ว（มีแล้ว）	▢FF00FF00Your territory's resources speed has been strengthened.	▢FF00FF00Your territory's resources speed has been strengthened.	▢FF00FF00Your territory's resources speed has been strengthened.
1025017	bonusHulk		▢FF00B0F0你的生命被强化了（已拥有）	▢FF00B0F0Your life has been strengthened. (Obtained)	▢FF00FF00Your HP  has been strengthened.	▢FF00FF00Ваши жизни были ввостановлены.	▢FF00FF00Your HP  has been strengthened.	▢FF00FF00Your HP  has been strengthened.	▢FF00FF00Your HP  has been strengthened.	▢FF00FF00Your HP  has been strengthened.	▢FF00FF00Your HP  has been strengthened.	▢FF00FF00Darah anda telah diperkuat.	▢FF00FF00ชีวิตของคุณถูกเสริมความแข็งแล้ว（มีแล้ว）	▢FF00FF00Your HP  has been strengthened.	▢FF00FF00Your HP  has been strengthened.	▢FF00FF00Your HP  has been strengthened.
1025018	bonusBlackPanther		▢FF00B0F0你的移动速度被强化了（已拥有）	▢FF00B0F0Your speed of movement has been strengthened. (Obtained)	▢FF00FF00Your movement speed has been strengthened.	▢FF00FF00Ваша скорость передвижения была увеличена.	▢FF00FF00Your movement speed has been strengthened.	▢FF00FF00Your movement speed has been strengthened.	▢FF00FF00Your movement speed has been strengthened.	▢FF00FF00Your movement speed has been strengthened.	▢FF00FF00Your movement speed has been strengthened.	▢FF00FF00Kecepatan gerak anda telah diperkuat.	▢FF00FF00ความเร็วการเคลื่อนที่ของคุณถูกเสริมความแข็งแล้ว（มีแล้ว）	▢FF00FF00Your movement speed has been strengthened.	▢FF00FF00Your movement speed has been strengthened.	▢FF00FF00Your movement speed has been strengthened.
1025019	bonusCaptainAmerica		▢FF00B0F0你的回血能力被强化了（已拥有）	▢FF00B0F0Your healing ability has been strengthened. (Obtained)	▢FF00FF00Your healing ability has been strengthened.	▢FF00FF00Ваша регенерация была улучшена.	▢FF00FF00Your healing ability has been strengthened.	▢FF00FF00Your healing ability has been strengthened.	▢FF00FF00Your healing ability has been strengthened.	▢FF00FF00Your healing ability has been strengthened.	▢FF00FF00Your healing ability has been strengthened.	▢FF00FF00Kemampuan mengobati anda telah diperkuat.	▢FF00FF00ความสามารถด้านการฟื้นค่าชีวิตของคุณถูกเสริมความแข็งแล้ว（มีแล้ว）	▢FF00FF00Your healing ability has been strengthened.	▢FF00FF00Your healing ability has been strengthened.	▢FF00FF00Your healing ability has been strengthened.
1025020	bonusSpiderMan		▢FF00B0F0你的偷取能力被强化了（已拥有）	▢FF00B0F0Your stealing ability has been strengthened. (Obtained)	▢FF00FF00Your stealing ability has been strengthened.	▢FF00FF00Ваша способность грабить была воостановлена.	▢FF00FF00Your stealing ability has been strengthened.	▢FF00FF00Your stealing ability has been strengthened.	▢FF00FF00Your stealing ability has been strengthened.	▢FF00FF00Your stealing ability has been strengthened.	▢FF00FF00Your stealing ability has been strengthened.	▢FF00FF00Kemampuan mencuri anda telah di perkuat.	▢FF00FF00ความสามารถด้านการขโมยของคุณถูกเสริมความแข็งแล้ว（มีแล้ว）	▢FF00FF00Your stealing ability has been strengthened.	▢FF00FF00Your stealing ability has been strengthened.	▢FF00FF00Your stealing ability has been strengthened.
1025021	bonusIronMan		▢FF00B0F0你的防御能力被强化了（已拥有）	▢FF00B0F0Your defense ability has been strengthened. (Obtained)	▢FF00FF00Your defense ability has been strengthened.	▢FF00FF00Ваша защита была увеличена.	▢FF00FF00Your defense ability has been strengthened.	▢FF00FF00Your defense ability has been strengthened.	▢FF00FF00Your defense ability has been strengthened.	▢FF00FF00Your defense ability has been strengthened.	▢FF00FF00Your defense ability has been strengthened.	▢FF00FF00Kemampuan bertahan anda telah diperkuat.	▢FF00FF00ความสามารถด้านการป้องกันตัวของคุณถูกเสริมความแข็งแล้ว（มีแล้ว）	▢FF00FF00Your defense ability has been strengthened.	▢FF00FF00Your defense ability has been strengthened.	▢FF00FF00Your defense ability has been strengthened.
1025022	enterDomainArea		▢FF00FFFF你进入了领地区域	▢FF00FFFFYou have entered the territorial area.	▢FF00FFFFYou have entered the territorial area.	▢FF00FFFFВы вошли в территорию ресурсов.	▢FF00FFFFYou have entered the territorial area.	▢FF00FFFFYou have entered the territorial area.	▢FF00FFFFYou have entered the territorial area.	▢FF00FFFFYou have entered the territorial area.	▢FF00FFFFYou have entered the territorial area.	▢FF00FFFFAnda telah memasuki area markas.	▢FF00FFFFคุณได้เข้าสู่เขตดินแดน	▢FF00FFFFYou have entered the territorial area.	▢FF00FFFFYou have entered the territorial area.	▢FF00FFFFYou have entered the territorial area.
1025023	quitDomainArea		▢FF00FFFF你离开了领地区域	▢FF00FFFFYou have left the territorial area	▢FF00FFFFYou have left the territorial area	▢FF00FFFFВы покинули территорию ресурсов.	▢FF00FFFFYou have left the territorial area	▢FF00FFFFYou have left the territorial area	▢FF00FFFFYou have left the territorial area	▢FF00FFFFYou have left the territorial area	▢FF00FFFFYou have left the territorial area	▢FF00FFFFAnda telah meninggalkan area markas	▢FF00FFFFคุณได้ออกจากเขตดินแดน	▢FF00FFFFYou have left the territorial area	▢FF00FFFFYou have left the territorial area	▢FF00FFFFYou have left the territorial area
1025024	clothesHave		▢FF00FFFF你已拥有该物品	▢FF00FFFFYou already own the item.	▢FF00FFFFYou already own the item.	▢FF00FFFFВы уже владеете этим предметом.	▢FF00FFFFYou already own the item.	▢FF00FFFFYou already own the item.	▢FF00FFFFYou already own the item.	▢FF00FFFFYou already own the item.	▢FF00FFFFYou already own the item.	▢FF00FFFFAnda sudah memiliki barang tersebut.	▢FF00FFFFคุณได้มีสิ่งของนี้แล้ว	▢FF00FFFFYou already own the item.	▢FF00FFFFYou already own the item.	▢FF00FFFFYou already own the item.
1025025	killPlayerHint		▢FF00FFFF%1s▥击杀了%2s▥，并使其失去%3s▥金钱	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.	▢FF00FFFF%1s▢ убил(-а) %2s▢ и заставил потерять его %3s▢ денег.	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.	▢FF00FFFF%1s▥ membunuh %2s dan membuat dia kehilangan %3s▥ uang.	▢FF00FFFF%1s▢ยิง%2s▢ตายและเสียเงิน%3s▢	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.	▢FF00FFFF%1s▥ killed %2s▥ and made him lose %3s▥ money.
1025026	skillHave		▢FF00FF00拥有该技能，点击右上角查看技能说明	▢FF00FF00You has the skill, click on the top right corner to view the skill description.	▢FF00FF00Skill gained, click on the top right corner to view the skill description.	▢FF00FF00Навык получен, нажмите на иконку магазина в правом верхнем углу чтобы увидеть описание навыка.	▢FF00FF00Skill gained, click on the top right corner to view the skill description.	▢FF00FF00Skill gained, click on the top right corner to view the skill description.	▢FF00FF00Skill gained, click on the top right corner to view the skill description.	▢FF00FF00Skill gained, click on the top right corner to view the skill description.	▢FF00FF00Skill gained, click on the top right corner to view the skill description.	▢FF00FF00Keterampilan tercapai, mengklik di ujung kanan atas untuk melihat deskripsi keterampilan.	▢FF00FF00มีความสามารถพิเศษนี้แล้ว คลิกมุมบนด้านขวาเช็คดูคำอธิบายความสามารถพิเศษ	▢FF00FF00Skill gained, click on the top right corner to view the skill description.	▢FF00FF00Skill gained, click on the top right corner to view the skill description.	▢FF00FF00Skill gained, click on the top right corner to view the skill description.
1025027	extraPortalStart		▢FF00FF00临时传送点开启，快去使用	▢FF00FF00The temporary teleporter has been activates. Use it as soon as possible.												
1025028	portalGetByCd		▢FF00FF00传送门过载，还需要%1s秒后恢复	▢FF00FF00Teleporter overload! %1sseconds left before overwrite.												
1025029	bonusBlackwidow		▢FF00B0F0你的生命越低，防御越高（已拥有）	▢FF00B0F0The lower your HP, the higher your defence. (Obtained)												
1025030	bonusWolverine		▢FF00B0F0你的回血能力被强化（已拥有）	▢FF00B0F0Your lifesteal ability has been strengthened.  (Obtained)												
1025031	bonusThor		▢FF00B0F0你的生命越低，攻击越高（已拥有）	▢FF00B0F0The lower your HP, the higher your damage. (Obtained)												
1025032	bonusLoki		▢FF00B0F0你的生命过低，会传送到家门口（已拥有）	▢FF00B0F0You will be teleported back to your territory when your HP is too low. (Obtained)												
1025033	bonusThanos		▢FF00B0F0每杀死一个职业，就增加你的攻击（已拥有）	▢FF00B0F0Your damage increases for Each type of hero you kill. (Obtained)												
1025034	bonusDoctorstrange		▢FF00B0F0你的领地产出速度被强化了百分比（已拥有）	▢FF00B0F0Your territory's output speed has been strengthened.												
1025035	bonusCaptainMarvel		▢FF00B0F0击杀别人时，还可获得他家里的钱（已拥有）	▢FF00B0F0You will obtain the money stored in the territory of the enemy you just killed. (Obtained)												
1025036	bonusDeadpool		▢FF00B0F0每次杀人可以回血至上限（已拥有）	▢FF00B0F0You will restore back to full HP after you kill an enemy.(Obtained)												
1025037	bonusHawkeye		▢FF00B0F0你的攻击力被强化了（已拥有）	▢FF00B0F0Your damage has been strengthened. (Obtained)												
1025038	NotBuyCoin		▢FFB22222游戏以开始不能购买该物品	▢FFB22222The game has began. This item cannot be purchased now.												
1025039	CanBuyInGameRunning		▢FFB22222此物品只有在游戏开始时才能购买	▢FFB22222This item can only be purchased after the game has began. 												
1025040	AreUnlocked		▢FFB22222已解锁	▢FFB22222Unlocked												
1025041	OccSpecialHas		▢FFB22222该装备为职业特别持有	▢FFB22222The equipment is specially owned for the profession												
1025042	NoOwnOcc		▢FF00FF00请在右上角购买[钥匙]后，到商人npc处解锁	▢FF00FF00Please purchase the key in the upper right corner and unlock it at the merchant NPC												
1025043	TryStage		▢FF00FF00试玩阶段，可以了解各英雄特色	▢FF00FF00You can know all the hero skills here												
1025050	selectRoleStartTime		▢FF00FF00选择职业将在%1s%2s▢FF00FF00后开始。▥	▢FF00FF00▢FF00FF00You can start choosing your Hero in%1s%2s。▥												
1025051	selectRoleEndTime		▢FF00FF00选择职业将在%1s%2s▢FF00FF00后结束。▥	▢FF00FF00%1s%2s▢FF00FF00left to pick your Hero.												
1025052	hasBeenSelect		▢FFB22222这个英雄已被选择	▢FFB22222Hero has been chosen												
1025053	addHomeEffect		▢FF00FFFF得到领地效果加成	▢FF00FFFFGain territorial buff												
1025054	removeHomeEffect		▢FF00FFFF失去领地效果加成	▢FF00FFFFLost territorial buff												
