TipType	TipTemplateId	TipType	TipTemplateId	Notice	zh_CN	en_US	pt_PT	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
1008010	msgBuyHpSpringSuc	1008010	msgBuyHpSpringSuc	购买温泉成功	%1s▢FFFFFFFF购买温泉成功	%1s▢FFFFFFFF Buy Hotspring successful	%1s▢FFFFFFFF Comprar fontes quentes com êxito	%1s▢FFFFFFFF Comprar fontes quentes com êxito	%1s▢FFFFFFFF Покупка гор-источника успешна	%1s▢FFFFFFFF 온천 구매 성공	%1s▢FFFFFFFF Achat de Hotspring réussi	%1s▢FFFFFFFFSuccès de l'achat d'un spa	%1s▢FFFFFFFF Comprar Hotspring exitoso	%1s▢FFFFFFFF Acquista Hotspring riuscita	%1s▢FFFFFFFF Beli Mata Air Panas berhasil	%1s▢FFFFFFFF ซื้อ น้ำพุร้อน สำเร็จ	%1s▢FFFFFFFF Hotspring Satın Al başarılı	%1s▢FFFFFFFFMua ôn tuyền thành công	%1s▢FFFFFFFFスパ購入成功
1008011	msgHpSpringMax	1008011	msgHpSpringMax	温泉已经满级	▢FFFFFFFF温泉已到达最大等级	▢FFFFFFFFHotspring has max level	▢FFFFFFFFFonte quente atingiu nível máximo	▢FFFFFFFFFonte quente atingiu nível máximo	▢FFFFFFFFГор-источник макс. ур.	▢FFFFFFFF 핫 스프링의 최대 레벨	▢FFFFFFFFHotspring a un niveau maximum	▢FFFFFFFFLe spa a atteint son niveau maximum	▢FFFFFFFFHotspring tiene un nivel máximo	▢FFFFFFFF La molla ha un livello massimo	▢FFFFFFFFHring panas memiliki level maksimal	▢FFFFFFFFน้ำพุร้อน มีระดับสูงสุด	▢FFFFFFFFSıcak yay maksimum seviyeye sahiptir	▢FFFFFFFFÔn tuyền đã đến mức tối đa	▢FFFFFFFFスパが最大レベルに達したこと
1008012	msgBuyLimit	1008012	msgBuyLimit	购买数量限制	▢FFFFFFFF购买数量已到达上限	▢FFFFFFFFNumber of purchase have the max	▢FFFFFFFFNúmero de compra atingiu máximo	▢FFFFFFFFNúmero de compra atingiu máximo	▢FFFFFFFFМаксимальное количество покупок	▢FFFFFFFF 구매 횟수는 최대	▢FFFFFFFFNombre d'achat ont le maximum	▢FFFFFFFFLe nombre maximal d'achats a été atteint	▢FFFFFFFFNúmero de compra tiene el máximo	▢FFFFFFFF Il numero di acquisto ha il max	▢FFFFFFFFJumlah pembelian maks	▢FFFFFFFF จำนวนการซื้อมีจำนวนสูงสุด	▢FFFFFFFFSatın alma sayısı maks.	▢FFFFFFFFSố mua đã đến mức tối đa	▢FFFFFFFF購入数の上限に達した場合
1008013	msgIronMax	1008013	msgIronMax	铁锻炉已经满级	▢FFFFFFFF铁锻炉已到达最大等级	▢FFFFFFFFIron forge has max level	▢FFFFFFFFA forja de ferro tem nível máximo	▢FFFFFFFFA forja de ferro tem nível máximo	▢FFFFFFFFКузница макс. ур.	▢FFFFFFFF 철 단조 최대 레벨	▢FFFFFFFFLa forge à fer a un niveau maximum	▢FFFFFFFFLa Forge de Fer a atteint son niveau maximum	▢FFFFFFFFIron forge tiene un nivel máximo	▢FFFFFFFFLa fucina di ferro ha un livello massimo	▢FFFFFFFFIron menempa memiliki level maksimal	▢FFFFFFFF เหล็กหลอม ปลอมมีระดับสูงสุด	▢FFFFFFFFDemir dövme maksimum seviyeye sahiptir	▢FFFFFFFFLò rèn sắt đã đến mức tối đa	▢FFFFFFFF鉄の錬金術師のレベルが最大になった
1008014	msgHotSpringLvUp	1008014	msgHotSpringLvUp	成功升级温泉	%1s▢FFFFFFFF成功升级温泉	%1s▢FFFFFFFF Upgrade the HotSprings	%1s▢FFFFFFFF Atualize fonte quente	%1s▢FFFFFFFF Atualize fonte quente	%1s▢FFFFFFFF Обновите горячие источники	%1s▢FFFFFFFF 온천 업그레이드	%1s▢FFFFFFFF Mettre à niveau les HotSprings	%1s▢FFFFFFFFLa modernisation du spa est un succès	%1s▢FFFFFFFF Actualiza los HotSprings	%1s▢FFFFFFFF Aggiorna le HotSprings	%1s▢FFFFFFFF Tingkatkan HotSprings	%1s▢FFFFFFFF อัปเกรด น้ำพุร้อนs	%1s▢FFFFFFFF HotSprings'i yükseltin	%1s▢FFFFFFFF Nâng cấp thành công ôn tuyền	%1s▢FFFFFFFFスパのアップグレードに成功
1008015	msgEnMax	1008015	msgEnMax	此附魔已经满级	▢FFFFFFFF此附魔已到达最大等级	▢FFFFFFFFEnchantment for this area has max level	▢FFFFFFFF magia atingiu nível máximo	▢FFFFFFFF magia atingiu nível máximo	▢FFFFFFFFЧар для этой области имеет максимальный уровень	▢FFFFFFFF이 지역의 마법은 최대 레벨입니다.	▢FFFFFFFFEnchantment pour cette zone a un niveau maximum	▢FFFFFFFFCet enchantement a atteint son niveau maximum	▢FFFFFFFFEl encantamiento para esta área tiene un nivel máximo	▢FFFFFFFF L'incantesimo per quest'area ha un livello massimo	▢FFFFFFFFPantuan untuk area ini memiliki level maksimal	▢FFFFFFFF เสน่ห์สำหรับพื้นที่นี้มีระดับสูงสุด	▢FFFFFFFFBu alan için maksimum seviye	▢FFFFFFFFBùa mê này đã đến mức tối đa	▢FFFFFFFFこのエンチャントは最大レベルに達している
1008016	equipLowerLevel	1008016	equipLowerLevel	无法获得低级装备	▢FFFFFFFF无法获得低级装备	▢FFFFFFFFUnable to obtain low level equipments	▢FFFFFFFFNão é possível obter equipamentos de baixo nível	▢FFFFFFFFNão é possível obter equipamentos de baixo nível	▢FFFFFFFFНе удается получить оборудование низкого уровня	수평▢FFFFFFFF 저수준 장비를 얻을 수 없습니다	▢FFFFFFFFImpossible d'obtenir des équipements de bas niveau	▢FFFFFFFFImpossibilité d'obtenir des équipements de bas niveau	▢FFFFFFFF No se pueden obtener equipos de bajo nivel	▢FFFFFFFF Impossibile ottenere apparecchiature di basso livello	▢FFFFFFFF Tidak dapat memperoleh peralatan tingkat rendah	▢FFFFFFFF ไม่สามารถรับอุปกรณ์ระดับต่ำได้	▢FFFFFFFFAlt seviye ekipman elde edilemez	▢FFFFFFFFKhông thể nhận trang bị thấp hơn	▢FFFFFFFF低レベルの機器を入手できない
1008017	msgNotUseRescue	1008017	msgNotUseRescue	不能放置救援床	▢FFFFFFFF救援平台只能在空中使用	▢FFFFFFFFRescue platform can only be used in mid air.	▢FFFFFFFF plataforma de apoio só pode ser usada no ar.	▢FFFFFFFF plataforma de apoio só pode ser usada no ar.	▢FFFFFFFF Спасательная платформа может использоваться только в воздухе.	플랫폼▢FFFFFFFF구출 플랫폼은 공중에서만 사용할 수 있습니다.	▢FFFFFFFFLa plateforme de sauvetage ne peut être utilisée que dans les airs.	▢FFFFFFFFLa plate-forme de sauvetage ne peut être utilisée qu'en l'air.	▢FFFFFFFF La plataforma de rescate solo se puede utilizar en el aire.	▢FFFFFFFF La piattaforma di salvataggio può essere utilizzata solo a mezz'aria.	▢FFFFFFFF Platform penyelamatan hanya dapat digunakan di udara.	แพลตฟอร์ม ▢FFFFFFFFกู้ภัย สามารถใช้ได้เฉพาะตอนกลางอากาศ	▢FFFFFFFF Kurtarma platformu yalnızca orta havada kullanılabilir.	▢FFFFFFFFĐệm chất nhờn an toàn chỉ có thể sử dụng trên không	▢FFFFFFFFレスキュープラットフォームは空中でしか使用できない
1008018	msgNotBreakBed	1008018	msgNotBreakBed	不能破坏自己队伍的床	▢FFFFFFFF不能破坏自己队伍的床	▢FFFFFFFFUnable to break your team's bed	▢FFFFFFFFNão é possível quebrar a cama de equipe	▢FFFFFFFFNão é possível quebrar a cama de equipe	▢FFFFFFFFНе удается сломать кровать вашей команды	▢FFFFFFFF 팀 침대를 깰 수 없습니다	▢FFFFFFFFImpossible de casser le lit de votre équipe	▢FFFFFFFFImpossible de détruire le lit de votre équipe	▢FFFFFFFF No se puede romper la cama de tu equipo	▢FFFFFFFF Impossibile rompere il letto della tua squadra	▢FFFFFFFF Tidak dapat memecahkan ranjang tim Anda	▢FFFFFFFF ไม่สามารถทำลายเตียงทีมของคุณ	▢FFFFFFFFTakımınızın yatağını kırmak mümkün değil	▢FFFFFFFFKhông thể phá giường bên mình	▢FFFFFFFF自分のチームのベッドを破壊できない
1008019	msgEnLvUp	1008019	msgEnLvUp	成功升级附魔	%1s▢FFFFFFFF成功升级附魔	%1s▢FFFFFFFFUpgraded the enchantment	%1s▢FFFFFFFFAtualizou o magia	%1s▢FFFFFFFFAtualizou o magia	%1s▢FFFFFFFFЧары обновлены	%1s▢FFFFFFFF 마법 강화	%1s▢FFFFFFFFMise à niveau de l'enchantement	%1s▢FFFFFFFFAmélioration réussie d'un enchantement	%1s▢FFFFFFFFActualizado el encantamiento	%1s▢FFFFFFFF Aggiornato l'incantesimo	%1s▢FFFFFFFFTingkatkan enchantment	%1s▢FFFFFFFF อัปเกรดความลุ่มหลง	%1s▢FFFFFFFFGöç büyüsü	%1s▢FFFFFFFFNâng cấp thành công bùa mê	%1s▢FFFFFFFFエンチャントのアップグレードに成功
1008020	msqMaxTool	1008020	msqMaxTool	工具最大等级	▢FFFFFFFF工具已到达最大等级	▢FFFFFFFFTools has max level	▢FFFFFFFFFerramenta atingiu nível máximo	▢FFFFFFFFFerramenta atingiu nível máximo	▢FFFFFFFFИнструменты макс. ур.	level▢FFFFFFFF 도구의 최대 레벨	▢FFFFFFFFTools a un niveau maximum	▢FFFFFFFFLes outils ont atteint le niveau maximum	▢FFFFFFFFTools tiene un nivel máximo	▢FFFFFFFFStrumenti ha livello massimo	▢FFFFFFFFTools memiliki level maksimal	เครื่องมือ ▢FFFFFFFF มีระดับสูงสุด	▢FFFFFFFFTools maksimum seviyeye sahiptir	▢FFFFFFFFCông cụ đã đến mức tối đa	▢FFFFFFFFツールが最大レベルに達した
1008021	msqMaxTool	1008021	msqMaxTool	只有钻石镐可以破坏	▢FFFFFFFF只有钻石镐可以破坏黑曜石	▢FFFFFFFFObsidian can only be destroyed with a diamond pickaxe	▢FFFFFFFFObsidian só pode ser destruído por picareta de diamante	▢FFFFFFFFObsidian só pode ser destruído por picareta de diamante	▢FFFFFFFF Обсидиан можно уничтожить только алмазной киркой	▢FFFFFFFF다이아몬드는 곡괭이로만 파괴 할 수 있습니다.	▢FFFFFFFFObsidian ne peut être détruit qu'avec une pioche en diamant	▢FFFFFFFFSeule la pioche de diamant peut détruire l'obsidienne.	▢FFFFFFFFObsidian solo puede ser destruido con un pico de diamante	▢FFFFFFFF L'ossidiano può essere distrutto solo con un piccone di diamante	▢FFFFFFFFObsidian hanya dapat dihancurkan dengan beliung berlian	▢FFFFFFFF ออบซิเดียน สามารถถูกทำลายได้ด้วย พลั่ว เพชรเท่านั้น	▢FFFFFFFFObidyan sadece elmas kazma ile yok edilebilir	▢FFFFFFFFChỉ cuốc kim cương mới phá được hắc diện thạch	▢FFFFFFFF黒曜石を破壊できるのは「ダイヤモンドつるはし」だけです。
1008022	msgBedHasBreak	1008022	msgBedHasBreak	床被破坏啦	▢FFFFFFFF您的床已被破坏了。您已无法复活	▢FFFFFFFFYour bed has been destroyed. You cannot be revived anymore.	▢FFFFFFFFSua cama foi destruída. Não pode mais ser revivido.	▢FFFFFFFFSua cama foi destruída. Não pode mais ser revivido.	▢FFFFFFFFВаша кровать разрушена. Вы не можете больше восстанавливаться.	침대▢FFFFFFFF 침대가 파손되었습니다. 더 이상 부활 할 수 없습니다.	▢FFFFFFFFVotre lit a été détruit. Vous ne pouvez plus être ressuscité.	▢FFFFFFFFVotre lit a été détruit. Vous n'êtes plus en mesure de réanimer	▢FFFFFFFF Tu cama ha sido destruida. Ya no puedes ser revivido.	▢FFFFFFFFIl tuo letto è stato distrutto. Non puoi più essere rianimato.	▢FFFFFFFFRanjangmu telah hancur. Anda tidak dapat dihidupkan kembali lagi.	▢FFFFFFFF เตียงของคุณถูกทำลาย คุณไม่สามารถฟื้นฟูได้อีกต่อไป	▢FFFFFFFFYatağınız yok edildi. Artık dirilemezsin.	▢FFFFFFFFGiường bên mình đã bị phá hoại.Không thể phục hồi nữa	▢FFFFFFFFあなたのベッドは破壊されました。 あなたはもう復活することはできません。
1008023	msgTeamFail	1008023	msgTeamFail	团灭	%1s▢FFFFFFFF玩家全部被淘汰	%1s▢FFFFFFFF wiped out.	%1s▢FFFFFFFFTodos os jogadores são eliminados.	%1s▢FFFFFFFFTodos os jogadores são eliminados.	%1s▢FFFFFFFF уничтожено.	%1s▢FFFFFFFF이 (가) 지워졌습니다.	%1s▢FFFFFFFF anéanti.	%1s▢FFFFFFFFTous les joueurs ont été éliminés	%1s▢FFFFFFFF eliminado.	%1s▢FFFFFFFF cancellato.	%1s▢FFFFFFFF dihapus.	%1s▢FFFFFFFF เช็ดออก	%1s▢FFFFFFFF silindi.	%1s▢FFFFFFFFbị xóa sổ	%1s▢FFFFFFFFすべてのプレーヤーが脱落した
1008024	breakBed	1008024	breakBed	破坏床	%1s▢FFFFFFFF破坏了%2s▢FFFFFFFF的床,%3s▢FFFFFFFF无法复活.	%1s▢FFFFFFFFdestroys%2s▢FFFFFFFF's bed	%1s▢FFFFFFFFdestrói a cama de%2s▢FFFFFFFF%3s▢FFFFFFFF não pode ser restaurado	%1s▢FFFFFFFFdestrói a cama de%2s▢FFFFFFFF%3s▢FFFFFFFF não pode ser restaurado	%1s▢FFFFFFFFуничтожил кровать%2s▢FFFFFFFF	%1s▢FFFFFFFF 파괴 %2s▢FFFFFFFF의 침대	%1s▢FFFFFFFF détruit le lit de%2s▢FFFFFFFF	%1s▢FFFFFFFFDétruit%2s▢FFFFFFFFLe lit,%3s▢FFFFFFFFne peut pas être ressuscité.	%1s▢FFFFFFFFdestroys%2s▢FFFFFFFF's bed	%1s▢FFFFFFFF distrugge il letto di%2s▢FFFFFFFF	%1s▢FFFFFFFFdestroys%2s▢FFFFFFFF's tempat tidur	เตียงของ%1s▢FFFFFFFF ปฏิเสธ%2s▢FFFFFFFF ของเตียง	%1s▢FFFFFFFFdestroys%2s▢FFFFFFFF'nin yatağı	%1s▢FFFFFFFFdestroys%2s▢FFFFFFFF's bed.	%1s▢FFFFFFFFデストロイ%2s▢FFFFFFFFベッドです。%3s▢FFFFFFFFが復活することはありません。
1008025		1008025		开启快速搭建	▢FFFFFFFF已开启快速搭建功能	▢FFFFFFFFHas activated the quick build function	▢FFFFFFFF ativou a função de compilação rápida	▢FFFFFFFF ativou a função de compilação rápida	▢FFFFFFFF активировал функцию быстрой сборки	짓다▢FFFFFFFF는 빠른 빌드 기능을 활성화했습니다	▢FFFFFFFFa activé la fonction de construction rapide	▢FFFFFFFFLa construction rapide est activée	▢FFFFFFFF ha activado la función de construcción rápida	▢FFFFFFFF ha attivato la funzione di creazione rapida	▢FFFFFFFFtelah mengaktifkan fungsi build cepat	▢FFFFFFFF ได้เปิดใช้งานฟังก์ชั่นสร้างด่วน	▢FFFFFFFFhızlı yapı işlevini etkinleştirdi	▢FFFFFFFFđã mở chức năng đập nhanh	▢FFFFFFFFクイックビルドが可能
1008026		1008026		关闭快速搭建	▢FFFFFFFF已关闭快速搭建功能	▢FFFFFFFFQuick build function has been disabled	▢FFFFFFFFdesativou função de compilação rápida	▢FFFFFFFFdesativou função de compilação rápida	▢FFFFFFFF Быстрая сборка отключена	짓다▢FFFFFFFF 빠른 빌드 기능이 비활성화되었습니다	▢FFFFFFFFLa fonction de construction rapide FFFFFFFFquick a été désactivée	▢FFFFFFFFLa construction rapide est désactivée	▢FFFFFFFF La función de compilación rápida se ha deshabilitado	▢FFFFFFFF La funzione di creazione rapida è stata disabilitata	▢FFFFFFFFFungsi build cepat telah dinonaktifkan	▢FFFFFFFF ฟังก์ชั่นสร้างอย่างรวดเร็วถูกปิดการใช้งาน	▢FFFFFFFFhızlı oluşturma işlevi devre dışı	▢FFFFFFFFđã khóa chức năng đập nhanh	▢FFFFFFFFクイックビルドをオフにする
1008027		1008027		被推下虚空	%1s▢FFFFFFFF把▢FFFFFFFF%2s▢FFFFFFFF打下了虚空	%1s▢FFFFFFFFknocked▢FFFFFFFF%2s▢FFFFFFFFinto the abyss	%1s▢FFFFFFFFbrancou▢FFFFFFFF%2s▢FFFFFFFF	%1s▢FFFFFFFFbrancou▢FFFFFFFF%2s▢FFFFFFFF	%1s▢FFFFFFFFсбил▢FFFFFFFF%2s▢FFFFFFFFв пропасть	%1s▢FFFFFFFF 노크 ▢FFFFFFFF %2s▢FFFFFFFF 심연으로	%1s▢FFFFFFFF frappé▢FFFFFFFF%2s▢FFFFFFFFans l'abîme	%1s▢FFFFFFFFMettez▢FFFFFFFF%2s▢FFFFFFFFFrappé dans le vide.	%1s▢FFFFFFFFknocked▢FFFFFFFF%2s▢FFFFFFFF en el abismo	%1s▢FFFFFFFFknocked▢FFFFFFFF%2s▢FFFFFFFF nell'abisso	%1s▢FFFFFFFFkedok▢FFFFFFFF%2s▢FFFFFFFF ke dalam jurang	%1s▢FFFFFFFF ปิดแล้ว ▢FFFFFFFF%2s▢FFFFFFFF ใส่ก้นเหว	%1s▢FFFFFFFFkesilen▢FFFFFFFF%2s▢FFFFFFFF uçurumun içine	%1s▢FFFFFFFFknocked▢FFFFFFFF%2s▢FFFFFFFFrơi vào abyss	%1s▢FFFFFFFFput▢FFFFFFFF%2s▢FFFFFFFF虚空からのノックアウト。
1008028	msgToolNotBreakBed	1008028	msgToolNotBreakBed	不能破坏床的工具	▢FFFFFFFF只有工具可以破坏床	▢FFFFFFFFbed can only be destroyed by tools	▢FFFFFFFFcama só pode ser destruído por ferramentas	▢FFFFFFFFcama só pode ser destruído por ferramentas	▢FFFFFFFFКровать уничтожается только инструментами	▢FFFFFFFF 침대 는 도구로만 파괴 할 수 있습니다	▢FFFFFFFFbed ne peut être détruit que par des outils	▢FFFFFFFFSeuls les outils peuvent détruire le lit	▢FFFFFFFFbed solo puede ser destruido por herramientas	▢FFFFFFFFbed può essere distrutto solo dagli strumenti	▢FFFFFFFFED hanya dapat dimusnahkan dengan alat	▢FFFFFFFFเตียง สามารถถูกทำลายโดยเครื่องมือเท่านั้น	▢FFFFFFFFbed yalnızca araçlar tarafından yok edilebilir	▢FFFFFFFFchỉ công cụ mới phá được giường	▢FFFFFFFFベッドを破壊できるのはツールだけ
